embedding model,infection precision,infection recall,infection f1-score,PPI precision,PPI recall,PPI f1-score,accuracy,weighted precision,weighted f1-score,ROC macro,ROC weighted
LINE,0.7286495911495913 ± 0.22884454349525787,0.49333333333333335 ± 0.22647050335284036,0.5671787451741012 ± 0.21308446344419796,0.7733812656500096 ± 0.05050674436257292,0.7054347826086957 ± 0.05297914249978573,0.7364724419606169 ± 0.04193100381740204,0.7736742424242424 ± 0.011399584082164014,0.7596959187340098 ± 0.012180656083213965,0.7648966340130995 ± 0.011674624479446347,0.8843445545450308 ± 0.012474792821169017,0.8905188036469228 ± 0.009688575636924051
Node2vec,0.8217195767195767 ± 0.1584673397366805,0.4566666666666666 ± 0.23900255693657801,0.547058130208285 ± 0.21253393108691473,0.8915981113392544 ± 0.02289715774750669,0.6981884057971015 ± 0.0697508468358666,0.7812033125123553 ± 0.045938343604112315,0.8940814393939392 ± 0.00629592430922448,0.853030470118508 ± 0.008804327782027796,0.8678276537799615 ± 0.006547392371857686,0.8074888558822398 ± 0.010017867254795107,0.8445399120455702 ± 0.009730991351800012
Deepwalk,0.8080675805675808 ± 0.1516837510159248,0.6000000000000001 ± 0.1949358868961793,0.6672722965602222 ± 0.15468984540284914,0.8764565944479907 ± 0.03021015008441803,0.8340579710144929 ± 0.0508228862176782,0.8537943865223159 ± 0.0317349953303298,0.8950994318181817 ± 0.005885751867633272,0.8712138177516404 ± 0.005885647217032711,0.8801527213201297 ± 0.004953292924392091,0.9062661913052392 ± 0.01073599915567058,0.9299769254325734 ± 0.009019389135180916
SDNE,0.7141563529063529 ± 0.15932807468604163,0.7133333333333334 ± 0.19618585292749546,0.7032938273270081 ± 0.1597428857864851,0.7820207681040965 ± 0.049600205164136456,0.7510869565217391 ± 0.06667158929525858,0.7650555558481653 ± 0.05123552629919899,0.8226799242424241 ± 0.014465330210314393,0.811445964669877 ± 0.015473594028444346,0.8153139800188549 ± 0.015078724741348219,0.9373874988114818 ± 0.01119767520193702,0.9466978945488954 ± 0.006718601043414749
CrossNELP,0.9108826358826358 ± 0.07450762931995523,0.7466666666666666 ± 0.17838784213679537,0.8080966825858465 ± 0.11893224806078073,0.9260589934890295 ± 0.028447500300929244,0.8963768115942029 ± 0.05330398530899417,0.9097843010575538 ± 0.02915579136369311,0.9491003787878789 ± 0.005928968122158536,0.9484785781555142 ± 0.006388894999539377,0.9438674562890509 ± 0.007758630350125315,0.9937431223696945 ± 0.00243808507383921,0.9932744651697181 ± 0.0018362719207177113
GF,0.7923317423317423 ± 0.16955390004519336,0.56 ± 0.22000000000000003,0.6401629638340502 ± 0.19241082238327803,0.853797321894179 ± 0.03366006174787075,0.8021739130434782 ± 0.05444918085266436,0.8259383520620888 ± 0.033260523705503205,0.8846117424242425 ± 0.008324585413599312,0.8642058367882764 ± 0.008575832526539347,0.8724324939933636 ± 0.008096671807705855,0.9132246551807871 ± 0.009218900824952114,0.9338378673500973 ± 0.008874596458748073
