Embedding Model,Infection Precision,Infection Recall,Infection F1-score,PPI Precision,PPI Recall,PPI F1-score,Accuracy,Weighted Precision,Weighted Recall,Weighted F1-score,AUC macro,AUC weighted
IMSP,0.923076923,1,0.96,0.93258427,0.864583333,0.897297297,0.972431078,0.972081635,0.972431078,0.972093521,0.998344527,0.997704091
IMSP,0.909090909,1,0.952380952,0.93877551,0.958333333,0.948453608,0.980527638,0.980391802,0.980527638,0.980264707,0.998857707,0.998416173
IMSP,0.833333333,0.5,0.625,0.916666667,0.802083333,0.855555556,0.966165414,0.965549355,0.966165414,0.964997483,0.996675974,0.995712626
IMSP,0.833333333,1,0.909090909,0.904255319,0.885416667,0.894736842,0.977443609,0.977468556,0.977443609,0.977395238,0.998145416,0.997357887
IMSP,1,1,1,0.884210526,0.893617021,0.888888889,0.981203008,0.981257729,0.981203008,0.981200183,0.998657379,0.998149136
IMSP,1,0.75,0.857142857,0.931034483,0.84375,0.885245902,0.978696742,0.978467641,0.978696742,0.978295879,0.99776006,0.99749032
IMSP,0.909090909,1,0.952380952,0.857142857,0.9375,0.895522388,0.967964824,0.968643687,0.967964824,0.967362075,0.997292467,0.996315551
IMSP,0.909090909,1,0.952380952,0.921348315,0.854166667,0.886486486,0.973684211,0.973561629,0.973684211,0.973187515,0.998576065,0.998103208
IMSP,0.857142857,0.6,0.705882353,0.858695652,0.822916667,0.840425532,0.966165414,0.965728852,0.966165414,0.965526996,0.996118051,0.994982698
IMSP,0.8,0.666666667,0.727272727,0.833333333,0.85106383,0.842105263,0.971177945,0.971136174,0.971177945,0.971105995,0.996899594,0.996076359
IMSP,1,1,1,0.897959184,0.916666667,0.907216495,0.977443609,0.977417306,0.977443609,0.977361343,0.998400419,0.997788482
IMSP,1,1,1,0.951219512,0.8125,0.876404494,0.976758794,0.976592383,0.976758794,0.976322709,0.99882739,0.99840819
IMSP,0.75,0.9,0.818181818,0.810810811,0.9375,0.869565217,0.971177945,0.973125932,0.971177945,0.971709097,0.996663256,0.995501011
IMSP,0.909090909,1,0.952380952,0.892473118,0.864583333,0.878306878,0.969924812,0.969728833,0.969924812,0.969483335,0.997715838,0.996924968
IMSP,1,0.916666667,0.956521739,0.9,0.957446809,0.927835052,0.979949875,0.980697711,0.979949875,0.980149534,0.999018709,0.998660027
IMSP,0.857142857,1,0.923076923,0.958333333,0.958333333,0.958333333,0.986842105,0.987014607,0.986842105,0.986771875,0.999001391,0.998673155
IMSP,0.8,0.4,0.533333333,0.774774775,0.895833333,0.830917874,0.967336683,0.968664493,0.967336683,0.967260222,0.991126013,0.991243923
IMSP,1,0.9,0.947368421,0.86407767,0.927083333,0.894472362,0.969924812,0.970144099,0.969924812,0.96990744,0.99747044,0.996802471
IMSP,0.9,0.9,0.9,0.905882353,0.802083333,0.850828729,0.974310777,0.973929553,0.974310777,0.973907195,0.997641902,0.996764514
IMSP,0.833333333,0.833333333,0.833333333,0.917647059,0.829787234,0.87150838,0.970551378,0.970243489,0.970551378,0.970054965,0.997271035,0.996284349
IMSP,0.909090909,0.833333333,0.869565217,0.921052632,0.729166667,0.813953488,0.965538847,0.96516896,0.965538847,0.964290922,0.997728454,0.997001322
IMSP,0.909090909,1,0.952380952,0.878787879,0.90625,0.892307692,0.972361809,0.972485546,0.972361809,0.972184996,0.998237325,0.997562583
IMSP,0.909090909,1,0.952380952,0.855769231,0.927083333,0.89,0.979323308,0.980295953,0.979323308,0.979612721,0.998496083,0.997984559
IMSP,0.818181818,0.9,0.857142857,0.861386139,0.90625,0.883248731,0.968671679,0.970446855,0.968671679,0.969173101,0.997224776,0.996284058
IMSP,0.727272727,0.666666667,0.695652174,0.906666667,0.723404255,0.804733728,0.96679198,0.966096154,0.96679198,0.965715515,0.997513244,0.9966391
IMSP,0.923076923,1,0.96,0.886792453,0.979166667,0.930693069,0.978696742,0.979409444,0.978696742,0.978374537,0.998648665,0.998133383
IMSP,0.8,0.8,0.8,0.900990099,0.947916667,0.923857868,0.976758794,0.976914451,0.976758794,0.976543786,0.997261383,0.996397865
IMSP,0.875,0.7,0.777777778,0.961538462,0.78125,0.862068966,0.971177945,0.971359013,0.971177945,0.970180052,0.998047556,0.997670685
IMSP,0.888888889,0.8,0.842105263,0.891089109,0.9375,0.913705584,0.974937343,0.975018571,0.974937343,0.974856355,0.997187306,0.996119519
IMSP,0.846153846,0.916666667,0.88,0.91,0.968085106,0.93814433,0.983709273,0.984045453,0.983709273,0.983732744,0.998629001,0.998128311
IMSP,0.916666667,0.916666667,0.916666667,0.91025641,0.739583333,0.816091954,0.969924812,0.969400365,0.969924812,0.968965924,0.996755554,0.996569974
IMSP,0.727272727,0.8,0.761904762,0.897959184,0.916666667,0.907216495,0.977386935,0.97761022,0.977386935,0.97741882,0.997469499,0.996618816
IMSP,0.769230769,1,0.869565217,0.830357143,0.96875,0.894230769,0.978070175,0.980162508,0.978070175,0.978590038,0.99798787,0.997222493
IMSP,0.833333333,1,0.909090909,0.917525773,0.927083333,0.922279793,0.978696742,0.978905533,0.978696742,0.978489674,0.998245126,0.997611622
IMSP,1,0.666666667,0.8,0.900990099,0.968085106,0.933333333,0.976190476,0.976582968,0.976190476,0.975656786,0.9972976,0.99660909
IMSP,1,0.916666667,0.956521739,0.852272727,0.78125,0.815217391,0.971177945,0.97063791,0.971177945,0.970773819,0.996946832,0.996669305
IMSP,0.727272727,0.8,0.761904762,0.833333333,0.989583333,0.904761905,0.974874372,0.976933501,0.974874372,0.975360451,0.99691784,0.995743369
IMSP,0.8,0.8,0.8,0.855670103,0.864583333,0.860103627,0.967418546,0.967957518,0.967418546,0.966885899,0.996687916,0.995657153
IMSP,0.909090909,1,0.952380952,0.79047619,0.864583333,0.825870647,0.968671679,0.969674686,0.968671679,0.969032869,0.997435475,0.996835943
IMSP,1,0.833333333,0.909090909,0.91025641,0.755319149,0.825581395,0.973684211,0.973201718,0.973684211,0.972865084,0.998388217,0.99785404
IMSP,0.909090909,0.833333333,0.869565217,0.902439024,0.770833333,0.831460674,0.973684211,0.973034698,0.973684211,0.973008215,0.997350814,0.996378744
IMSP,1,0.8,0.888888889,0.828571429,0.90625,0.865671642,0.96419598,0.96590226,0.96419598,0.964651475,0.994461207,0.993019057
IMSP,0.9,0.9,0.9,0.877358491,0.96875,0.920792079,0.976190476,0.976952023,0.976190476,0.976375007,0.997743261,0.996870753
IMSP,0.818181818,0.9,0.857142857,0.809090909,0.927083333,0.86407767,0.974937343,0.976553504,0.974937343,0.975452274,0.998225895,0.997592704
IMSP,1,1,1,0.854545455,1,0.921568627,0.983709273,0.985158106,0.983709273,0.984023709,0.998952375,0.998565529
IMSP,0.846153846,0.916666667,0.88,0.9,0.75,0.818181818,0.96679198,0.96617472,0.96679198,0.966039403,0.997471607,0.996526519
IMSP,1,0.8,0.888888889,0.823529412,0.875,0.848484848,0.96419598,0.964900294,0.96419598,0.963745635,0.995677745,0.995078267
