embedding model,infection precision,infection recall,infection f1-score,PPI precision,PPI recall,PPI f1-score,accuracy,weighted precision,weighted recall,weighted f1-score,ROC macro,ROC weighted
LINE,0.755429847929848 ± 0.1854900045590902,0.5366666666666667 ± 0.1448754254140049,0.6038837467478604 ± 0.10480262680447802,0.7867944720027692 ± 0.04233517176567285,0.7322463768115942 ± 0.054382838963252036,0.7578280308831756 ± 0.04338400937140782,0.7901515151515153 ± 0.010840735213702055,0.7784991111485836 ± 0.012025665643279124,0.7901515151515153 ± 0.010840735213702055,0.7823626051924015 ± 0.011448432491341422,0.9002644997334486 ± 0.008995056287078293,0.904218612973252 ± 0.007917761613819423
Node2vec,0.8839297739297739 ± 0.07354861166995726,0.8333333333333334 ± 0.14220486005134364,0.8510871764973931 ± 0.09309557548843299,0.9261764224629235 ± 0.030560499905116754,0.9811594202898549 ± 0.0211762886901485,0.9525170773657484 ± 0.019550932853361538,0.9617424242424242 ± 0.0063702631103284635,0.9614502193026121 ± 0.006495146680673787,0.9617424242424242 ± 0.0063702631103284635,0.9613185352029705 ± 0.006471005045121027,0.9904092524882259 ± 0.004507823451985906,0.994117980919142 ± 0.0016461804964897516
Deepwalk,0.8765823065823067 ± 0.10828103837294431,0.7733333333333332 ± 0.16110727964792765,0.8108874915336082 ± 0.10913556679600359,0.8958378138038299 ± 0.0269475287153968,0.9605072463768114 ± 0.02200620962182639,0.9266987838104387 ± 0.017174293671859082,0.9328598484848485 ± 0.004627330385399146,0.9304765142471271 ± 0.005275318913326615,0.9328598484848485 ± 0.004627330385399146,0.931111498741097 ± 0.00498847887199563,0.9766944197941674 ± 0.007080916734122805,0.9839057619512628 ± 0.003283648436663548
SDNE,0.8013834749128866 ± 0.12254915299369272,0.8599999999999999 ± 0.13316656236958785,0.8197498934752715 ± 0.09784116440901013,0.830982467317847 ± 0.032945508661425656,0.8235507246376812 ± 0.04659848516395914,0.8262119198297716 ± 0.02848096673641751,0.85329071969697 ± 0.011272544662970369,0.849178808790125 ± 0.011641907122680963,0.85329071969697 ± 0.011272544662970369,0.8503221423857433 ± 0.011450871492449305,0.9630743662129204 ± 0.007409186279858543,0.965362184824069 ± 0.004202837812381311
CrossNELP,0.946575369075369 ± 0.07357026484555944,0.9266666666666665 ± 0.09285592184789412,0.9336433640094967 ± 0.06987512100841932,0.9307768614450801 ± 0.03402310077527343,0.9840579710144925 ± 0.022926510173270104,0.9560617027416721 ± 0.01795983584487094,0.9841382575757576 ± 0.0035242034215773434,0.9845826882018173 ± 0.003262936143236998,0.9841382575757576 ± 0.0035242034215773434,0.9841709561294294 ± 0.003481913270747438,0.998998253998679 ± 0.00047915337720396686,0.998681488903486 ± 0.0006095300200793418
GF,0.782459114959115 ± 0.13168791878743358,0.6633333333333334 ± 0.17978382080215735,0.697951123523879 ± 0.12891089714894421,0.8650380966399688 ± 0.03900727729377439,0.8963768115942029 ± 0.04054734734358777,0.8796625066575136 ± 0.03003524616768235,0.9007102272727273 ± 0.006610330092292176,0.8901770244265556 ± 0.007276906461529587,0.9007102272727273 ± 0.006610330092292176,0.8944365511761547 ± 0.006770572147124724,0.9449258798413993 ± 0.00799006890433319,0.9639426713587709 ± 0.0041350278740880765
