embedding model,infection precision,infection recall,infection f1-score,PPI precision,PPI recall,PPI f1-score,accuracy,weighted precision,weighted recall,weighted f1-score,ROC macro,ROC weighted
LINE,0.8181818181818182,0.9,0.8571428571428572,0.8214285714285714,0.75,0.7840909090909092,0.8004261363636364,0.7892250507986286,0.8004261363636364,0.7927564885197875,0.9138750388204999,0.9148489536530363,
Node2vec,1.0,1.0,1.0,0.9263157894736842,0.9565217391304348,0.9411764705882354,0.9630681818181818,0.9647092614167825,0.9630681818181818,0.9636797543846132,0.994662479674399,0.9943708728650487,
Deepwalk,0.6666666666666666,0.8,0.7272727272727272,0.9278350515463918,0.9782608695652174,0.9523809523809524,0.9346590909090909,0.935844430421112,0.9346590909090909,0.935125365337434,0.9848878526657823,0.9867101688989537,
SDNE,0.9090909090909091,1.0,0.9523809523809523,0.7978723404255319,0.8152173913043478,0.8064516129032258,0.875,0.8718412846243915,0.875,0.873187473099037,0.963464514409287,0.9675111419303065,
CrossNELP,0.9090909090909091,1.0,0.9523809523809523,0.9680851063829787,0.9891304347826086,0.9784946236559139,0.9893465909090909,0.9896441154387802,0.9893465909090909,0.9894310744160939,0.9998086035752785,0.9997316240536152,
GF,0.8,0.8,0.8000000000000002,0.8686868686868687,0.9347826086956522,0.9005235602094241,0.9026988636363636,0.8814231426385576,0.9026988636363636,0.8907639688022361,0.9476461906952963,0.9638247436939367,
