205,234
103,106
156,192
115,121
6,11
27,30
83,89
63,66
234,235
216,226
180,181
143,145
22,33
96,194
198,240
157,168
158,160
89,92
174,204
55,64
109,193
34,36
64,170
106,114
142,151
162,163
66,211
39,40
56,200
55,187
14,170
48,54
3,10
77,193
10,12
80,197
173,186
11,15
241,242
132,133
23,28
20,200
183,186
19,204
48,52
20,22
80,170
217,223
220,226
23,206
131,135
147,193
144,148
216,218
60,66
35,36
9,17
64,187
19,23
238,243
64,194
106,113
151,153
62,67
50,53
50,51
59,154
42,60
77,191
238,240
156,168
129,140
60,68
104,114
112,203
61,62
103,104
59,207
233,234
87,88
117,126
66,154
129,135
218,221
30,31
109,188
231,232
176,184
105,114
240,245
209,216
49,77
176,185
226,229
9,10
233,235
124,208
242,245
111,187
10,45
149,152
137,154
30,33
227,229
160,163
172,181
86,90
36,38
218,220
21,27
4,17
39,171
85,92
237,242
19,33
4,11
144,195
116,128
217,226
150,152
229,230
16,17
120,124
66,170
142,148
169,201
17,201
81,214
110,208
1,55
21,170
92,99
91,95
106,111
129,137
79,212
108,198
42,183
138,139
71,129
100,147
57,64
147,153
22,23
144,152
161,163
161,164
239,243
55,71
18,33
23,32
89,99
174,180
89,96
210,213
238,245
146,147
106,207
1,244
144,150
67,195
3,17
110,111
157,160
146,149
18,20
89,197
87,96
223,229
163,167
156,162
124,128
109,113
5,12
80,192
56,61
241,243
21,32
109,112
137,138
156,169
83,87
139,195
6,15
187,189
221,226
62,68
55,63
15,16
178,185
227,230
162,197
90,97
37,41
24,26
144,146
124,127
165,167
80,188
0,65
34,35
87,97
27,28
212,214
147,149
34,37
168,196
225,230
78,192
147,151
157,162
137,139
119,127
148,152
48,50
21,28
177,178
51,53
107,112
6,17
42,227
60,62
231,236
221,222
19,21
119,124
221,227
36,171
158,166
42,177
18,21
181,184
24,31
180,184
88,90
217,221
234,240
154,183
221,224
25,27
104,109
123,128
80,194
222,223
42,109
154,243
122,123
122,124
4,9
203,235
20,32
188,191
125,126
108,109
119,128
182,184
236,244
102,188
173,178
147,152
97,99
37,71
63,203
19,31
66,67
19,26
233,236
106,110
55,100
219,228
216,225
131,136
119,125
98,99
172,177
129,154
220,228
235,244
11,12
136,139
7,8
70,75
197,238
223,226
60,196
220,229
232,243
134,135
232,241
158,169
115,119
19,32
174,186
154,238
223,224
178,207
177,184
120,126
161,199
117,119
13,15
154,231
11,13
102,109
172,209
35,37
84,86
12,205
1,80
32,42
94,97
48,76
90,94
86,87
52,97
179,203
136,154
6,45
217,218
3,9
172,178
73,76
50,54
123,194
175,184
156,158
154,175
42,216
117,121
42,102
183,184
170,175
235,241
105,106
64,211
58,64
174,183
219,227
88,94
25,30
233,243
87,92
160,167
164,165
188,227
178,181
241,245
172,174
158,159
21,23
116,118
134,139
