embedding model,accuracy,infection precision,infection recall,infection f1-score,PPI precision,PPI recall,PPI f1-score,weighted precision,weighted recall,weighted f1-score,ROC macro,ROC weighted
deepwalk_unweighted_128,0.9260057471264368,1.0,0.75,0.8571428571428571,0.9222222222222223,0.9651162790697675,0.9431818181818181,0.9209561005882037,0.9260057471264368,0.9230306667976813,0.9749392278202741,0.9835867631617006
deepwalk_unweighted_128,0.9813218390804598,1.0,0.75,0.8571428571428571,0.9285714285714286,0.9069767441860465,0.9176470588235294,0.9812506262486215,0.9813218390804598,0.9811588452895224,0.9984375884241032,0.9978987400138786
node2vec_structural_128,0.9181034482758621,0.6363636363636364,0.875,0.7368421052631579,0.9130434782608695,0.9767441860465116,0.9438202247191011,0.9181372434895765,0.9181034482758621,0.9179331060049973,0.9845655596305795,0.9837172121087202
node2vec_structural_128,0.9798850574712644,0.6666666666666666,0.75,0.7058823529411765,0.8695652173913043,0.9302325581395349,0.898876404494382,0.9806274215692432,0.9798850574712644,0.9801606530519684,0.9972204667661531,0.9967507265091307
node2vec_content_128,0.9058908045977011,0.8,1.0,0.888888888888889,0.8247422680412371,0.9302325581395349,0.8743169398907104,0.9122487425089378,0.9058908045977011,0.9084283573838358,0.9812586381558164,0.9784880261630873
node2vec_content_128,0.9813218390804598,1.0,0.75,0.8571428571428571,0.8941176470588236,0.8837209302325582,0.888888888888889,0.9812950618256453,0.9813218390804598,0.9811957939082966,0.997533379352871,0.9972333433704842
node2vec_unweighted_128,0.9066091954022989,0.42857142857142855,0.75,0.5454545454545454,0.8269230769230769,1.0,0.9052631578947368,0.9102263507933268,0.9066091954022989,0.9075569271656576,0.9826313560959224,0.9785286069180331
node2vec_unweighted_128,0.9741379310344828,0.5714285714285714,0.5,0.5333333333333333,0.9036144578313253,0.872093023255814,0.8875739644970415,0.9737572173412365,0.9741379310344828,0.9739080692189835,0.995635730135653,0.9952292733422864
line_embedding_128,0.4791666666666667,0.4,0.25,0.3076923076923077,0.4606741573033708,0.47674418604651164,0.46857142857142864,0.4780198928433699,0.4791666666666667,0.47809085865865497,0.7638766627484077,0.7260471329963474
line_embedding_128,0.9755747126436781,1.0,0.75,0.8571428571428571,0.9696969696969697,0.7441860465116279,0.8421052631578948,0.9758638977423756,0.9755747126436781,0.9745712970106118,0.9963992559415324,0.996113083288171
